,Word,frequency,sentiment,category
215,protect,837,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
220,love,823,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",positive
228,better,795,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
247,top,763,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
255,natural,751,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
265,allow,736,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
266,party,730,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
284,responsible,677,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
300,hope,642,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
301,thank,642,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
317,matter,616,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
324,security,603,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
349,clear,557,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
359,wow,550,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
372,agree,537,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
378,challenge,531,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
385,increase,523,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
389,united,517,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
400,dear,504,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
404,interesting,501,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
410,sure,490,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
414,huge,483,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
427,growing,466,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
429,free,465,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
431,giving,464,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
440,share,452,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
452,solution,437,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
480,sweet,409,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
484,true,406,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
489,powerful,401,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
492,solve,399,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
507,rich,390,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
521,agreement,376,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
524,warm,374,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
530,urgent,368,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
533,nice,365,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
538,god,363,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
545,justice,359,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
550,excellent,356,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
601,strong,323,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
617,cool,315,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
621,create,313,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
623,special,313,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
638,yeah,306,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
641,safety,306,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
643,happy,304,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
651,growth,300,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
658,amazing,297,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
670,effective,289,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
686,number,284,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
721,ready,272,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
736,kind,267,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
740,chance,266,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
742,worth,265,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
746,opportunity,262,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
748,warmer,261,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
762,pretty,258,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
771,vital,254,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
776,innovation,252,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
793,grant,247,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
809,healthy,243,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
820,saved,239,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
823,significant,238,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
845,safe,231,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
877,welcome,222,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
882,defense,221,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
884,win,221,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
899,prevent,217,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
900,progress,217,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
901,ability,217,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
908,play,214,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
911,faith,213,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
925,perfect,207,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
933,clearly,207,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
936,helping,206,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
952,wish,203,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
963,supporting,200,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
967,truly,198,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
980,actively,196,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
981,beautiful,195,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
989,interested,193,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
1008,hand,187,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
1010,intense,187,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
1012,bonus,187,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
1018,convinced,185,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
1027,smart,184,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
1028,accept,184,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1029,glad,184,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1036,greater,181,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
1055,commitment,176,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1078,excited,172,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
1090,easy,169,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1099,celebrate,167,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
1101,super,166,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
1102,straight,166,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
1112,ambitious,165,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
1114,prepared,163,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
1128,joke,161,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
1130,improve,161,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1157,innovative,156,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1162,gain,155,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
1168,fun,154,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
1172,respect,153,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
1174,legal,153,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
1176,bold,153,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1183,feeling,151,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
1201,astounding,148,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
1228,funny,142,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1229,agreed,141,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
1230,ensure,141,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1236,brilliant,140,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
1247,vision,137,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
1248,benefit,137,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1268,peace,134,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
1290,interest,131,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1316,reach,127,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
1336,guarantee,124,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
1343,fair,123,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
1345,definitely,123,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
1352,fascinating,122,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
1362,fine,121,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
1364,surely,120,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1365,trust,120,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
1376,approval,119,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
1397,award,117,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5423}",positive
1439,effectively,112,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1461,certain,110,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
1468,profit,109,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1473,adopt,108,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
1475,admit,108,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
1483,value,107,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
1484,fantastic,107,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
1490,champion,107,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
1496,importance,106,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
1503,inspired,105,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
1507,efficiency,105,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
1513,winning,104,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
1514,friend,104,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
1515,yep,104,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
1526,awesome,103,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",positive
1527,positive,103,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
1535,certainly,102,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
1555,commit,101,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
1630,promote,93,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1654,supreme,90,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
1656,wealth,90,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
1678,intelligence,88,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
1680,ha,88,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
1696,clever,87,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1697,restore,87,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
1700,grand,87,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1702,original,87,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
1706,inspiring,86,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
1720,credit,85,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1727,wonderful,85,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
1736,cleaner,84,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
1741,freedom,84,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",positive
1759,surprise,83,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
1760,popular,83,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
1780,compelling,82,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
1791,supporter,81,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
1805,treat,81,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
1808,curious,80,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
1822,stunning,80,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1828,accepted,79,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
1830,intact,79,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
1865,lobby,76,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
1877,backing,75,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0258}",positive
1886,easier,75,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
1898,favorite,74,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
1902,reaching,74,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
1912,landmark,73,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
1914,enjoy,73,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
1925,exploration,72,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",positive
1926,mature,72,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
1935,promise,71,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
1953,passionate,70,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
1958,alive,70,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
1978,escape,68,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
1984,dream,68,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
1988,useful,68,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
1990,efficient,68,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
2026,remarkable,66,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
2030,active,66,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2053,encourage,65,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2067,innovate,64,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2075,fresh,64,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2086,hero,64,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",positive
2089,improving,63,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
2098,encouraging,63,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",positive
2100,alert,63,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",positive
2104,easily,62,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2109,expand,62,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2114,pleasure,62,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
2119,friendly,61,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2152,freeze,60,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0516}",positive
2179,honor,59,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2191,exclusive,59,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.128}",positive
2198,comprehensive,58,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
2204,wealthy,58,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
2211,excuse,58,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
2219,appreciate,57,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2221,creation,57,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
2248,intellectual,56,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2262,exciting,55,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2274,perfectly,55,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",positive
2281,authority,54,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
2284,honestly,54,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",positive
2292,engage,54,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2302,devoted,53,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2306,prize,53,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2311,comfortably,53,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",positive
2316,successfully,52,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",positive
2321,impressive,52,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2343,assets,51,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.1779}",positive
2349,convince,51,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}",positive
2354,creativity,51,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",positive
2356,strengthen,51,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2371,successful,50,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",positive
2389,desire,50,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2416,creative,48,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
2435,valuable,48,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
2437,convincing,48,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2441,highlight,48,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2445,inspire,47,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
2448,optimistic,47,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",positive
2449,success,47,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",positive
2468,surprising,46,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",positive
2479,holiday,46,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",positive
2488,unbelievable,46,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",positive
2490,fit,46,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
2493,delighted,45,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
2501,relief,45,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
2509,recommend,45,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
2521,loyal,45,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",positive
2552,gift,44,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
2559,determined,43,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",positive
2570,sentence,43,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",positive
2576,honest,43,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5106}",positive
